67,@afiffuads jika ustadz hijrah kalian tolak. sedangkan kajian2 kalian tidak menarik bagi anak muda ( non santri ). kalian mau kami tersesat tanpa mengenal agama?,narkuys212
68,"@manuruung @dahnilanzar kalau ada orang berkata ""banser membubarkan pengajian"", dipastikan orang itu, gagal paham/ gak tau impormasi yg benar, didasari rasa benci, fanatik buta.",A_Muzamm
69,"ga harus dibatalin sih ini keterlaluan, bagi saya sendiri memang tidak terlalu suka dengan isi dari kajian bapak hanan attaki karena isinya cinta cinta, tapi itu cuma masalah selera, siapapun boleh berdakwah. toh dia berdakwah dengan cara dia sendiri, asal masih bener knp gaboleh https://t.co/eqqo7lqpnt",uuunxeee
70,"@sopechick alasan aku males dengerin ceramah2 ustadz indo bukn krn aku gamau belajar agama, tpi y gni bbrp pd ""menuhankan"" diri

najis bngst",jamaisvuue
71,"keberatan &amp; provokatif.. mgkn yg mbuat jrg2 lihat kajiannya ust. hanan attaki ya.. &amp; sekalipun beda mahzab, beda ormas, beda pendapat, tp hrs tetap bersahabat &amp; nggak perlu ada keberatan aplg ""pembubaran"" spt yg sdh2 dtempat lain https://t.co/ljjispdycr",Rasyid2909
72,"@mcaops alhamdulillah banser telah mengenalkan kami dg ustadz hanan, tdnya saya gak kenal. banser memang yahui bisa bikin ngetop ustadz yg mereka benci...",bh3rmant0
73,"@ragibfirdaus @sahal_as oke sepakat, biar fair apakah ust hanan attaki jg mau diajak diskusi??",GenNuPwt
74,"@4d_h1m @burhanmuhtadi itu komentar hater aja.. banser ansor.dah ada sblm tni bahkan nkri ada, ikut mendirikan dan menjaga kedaulatan nkri.. sorry ga level ma.hti yg musuh negara",M_Asrodin76
75,"@ustadtengkuzul udahlah tad,kita udah kalah ama mereka terima aja dulu,kita liat perkembangan negeri ini yang sekarang sedang dipimpin oleh pak jokowi,jika memang benar pak jokowi curang pasti ada kok jalan buat membuktikan kalo pak jokowi curang.
mending sekarang ustadz dakwah&amp;dzikir.",AryoKxx
76,"""harus yakin"" kamu akan tau setelah kamu ""yakin"", bukan kamu akan ""yakin"" setelah kamu tahu~
.
ust. hanan attaki, lc.
.
.
.
sungai cambai, mesuji 6-7 juli 2019 https://t.co/ivxfru98u3",fandy_77
77,"astagfirullah, ustad hanan attaki juga. 😭😭😭 https://t.co/2x7nmy9oaa",alfymaghfira
78,seriusan ngebelain nabi musa yg dibilang “preman” sama ustadz hanan? lah itu rasul jenggot panjang dibilang goblok napa pada diem?,ekwardo
79,"@vikingcimahifc mun aya acara banser di cimahi, bubarkeun wae lur. gantian",AfebRaden
80,"ditolak ansor, ini tanggapan luar biasa ustadz hanan attaki https://t.co/vrphuiwg5v https://t.co/axssnb99qc",indoselalu
81,"@m_asrodin76 @ronaldpatina @burhanmuhtadi masalahnya ust.hanan attaki bukan santri dr jawa timur,gak punya darah biru ormas..beda ama yg punya darah biru ormas hijau,biar liberal mau ngomong apa paling banter didiemin..",harry_adi89
82,@hilmi28 hanya pki yg benci ustadz &amp; ulama.,tohanfas
83,terkadang orang mengaku bermazhab tapi bnyak yg tidak diikuti nya dan malah mengikuti ustadz yg menurut dia baik dan ia sukai saja,aniiiiiii96
84,"""menurut gp ansor, isi ceramah ustaz hanan attaki kerap mengandung hal kontroversial"".
begitu juga tindakan gp ansor dg paksa batalkan ceramah ustaz hanan attaki merupakan tindakan yg kontroversial. https://t.co/tkuzf9ge0c",SofyanSugandhi9
85,@h_elshirazy akhir bulan ya ustadz. insyaallah,SantriKopi
86,"teringat dengan ucapan alm. kh hasyim muzzadi mantan ketua umum pbnu, yang mengatakan : ansor/banser pada tahun 65 itu mirip dengan fpi yang sekarang, heroik dan memiliki ghiroh islam yang tinggi sangat anti pki, tapi sekarang???",LukmanN62957418
87,ustadz hanan provokatif karena bikin remaja lbh seneng suka ke masjid drpd dangdutan wkwkwk,ekwardo
88,apakah banser adalah fpi di rezim yg berbeda?,yugareksa
89,@tofagarislurus bukan anggota banser ep om,saladdi87898257
90,"gue tau gimana caranya ust hanan attaki,ust felix dan yang laen nya bisa aman tentram ngisi pengajian:gabung gp ansor dong
.
.
.
iya ngga sih?",HKaliwaru
91,@malvsyakira gp ansor banser bubarin aja.. hahaha kgk guna..! klo di sumatera kgk ada tempat buat mereka.,BayuKirana7
92,ciri2 ustadz instant...sering bohong  &amp; fitnah !! https://t.co/5a7o3tfx5l,OroOroDowo40
93,"#kitasatuindonesia , satu negara, berbagai bahasa nusantara. kita semua menjunjung tinggi ham! tapi kenapa pengajian ust. hanan attaki dibubarkan?

keberatan boleh, nggak ada yang ngelarang, tapi kenapa dibubarkan? https://t.co/fybnu8mive",RyaNash177
94,@tofagarislurus salahnya gk ikut jd prajurit banser om,SuaraRakyat_RI
95,"entahlah bingung sama kejadian yang menimpa ustadz hanan attaki
provakatifnya beliau dimana? 

tp iyasih emang provakatif, suka ngompor2in para jomblo buat nikah -_-

ini banser mau dibilang oknum, tp kok ya sering bgt nolak org2 yg ""berbeda"" dgn mereka

gaung2in toleransi tp....",rhivaldyfaahim
96,"@yahudigarislucu @rois_reus @nugarislucu @protestangl @katolikg @muhammadiyahgl yang di surabaya itu difungsikan tuh.  kalau ada yang nggeruduk, minta perlindungan banser ja.",zoegyBrix
97,"penasaran dgn ust hanan iseng2 gogling &amp; ketemu canel youtubenya 
melihat menampilannya sgt milenial &amp; suaranya merdu saat membacakan ayat2 suci alquran
heran ust begini  kok sampai ditolak ceramah

ustadz hanan attaki - an-naba https://t.co/fq3vuc4x9y lewat @youtube",sanikomputer_id
98,bener kan kata gw. ada aja hampir tiap hari kasus ttg agama islam. terakhir ustadz hanan dan hoax org tionghoa yg katanya jenius itu. capek ga sih lo 5 taun bgini terus,ekwardo
99,"@ustadtengkuzul @badikrfai itu cerita dari bapak saya waktu aku umur 10thn, katanya ustadz kokseneng ngibul, apa lagi tobatnya kok nggak sama allah",Hartono20841278
100,@roninkhalid percuma koar2 kalau kelakuan banser jalan terus...,dazzameka
